Name,StudyHours,Attendance,Result,ResultNumeric
Arjun Rana 210,1.3,60.6,Fail,0
Dev Kapoor 211,9.8,30.9,Fail,0
Amit Chauhan 212,0.7,92.4,Fail,0
Miraj Desai 213,2.6,86.0,Fail,0
Jay Chauhan 214,3.6,99.9,Fail,0
Utsav Mehta 215,6.2,98.0,Pass,1
Varun Agarwal 216,8.4,89.0,Pass,1
Om Sharma 217,3.0,53.9,Fail,0
Tushar Agarwal 218,4.8,78.7,Fail,0
Sumit Shah 219,1.2,49.5,Fail,0
Bhavesh Joshi 220,5.8,89.5,Pass,1
Om Sharma 221,5.3,43.2,Fail,0
Om Sharma 222,8.9,68.9,Fail,0
Ansh Rana 223,0.4,60.8,Fail,0
Hash Agarwal 224,6.8,81.2,Pass,1
Vivek Chauhan 225,4.4,70.9,Fail,0
Dharaj Sharma 226,4.0,54.3,Fail,0
Vivek Joshi 227,5.7,66.6,Fail,0
Smit Rana 228,8.1,62.9,Fail,0
Arjun Joshi 229,2.6,35.6,Fail,0
Manav Joshi 230,7.9,86.2,Pass,1
Sumit Rana 231,2.0,63.4,Fail,0
Arjun Joshi 232,1.4,58.0,Fail,0
Varun Verma 233,7.8,82.3,Pass,1
Utsav Kapoor 234,9.5,57.5,Fail,0
Amit Shah 235,4.5,93.9,Fail,0
Smit Patel 236,8.1,73.3,Pass,1
Chirag Yadav 237,3.3,90.0,Fail,0
Yash Mehta 238,2.0,63.6,Fail,0
Utsav Sharma 239,3.7,57.1,Fail,0
Yash Singh 240,6.2,39.0,Fail,0
Parth Malik 241,0.5,57.5,Fail,0
Miraj Sharma 242,1.3,82.6,Fail,0
Manav Malik 243,8.6,42.2,Fail,0
Parth Chauhan 244,6.4,39.0,Fail,0
Rahul Sharma 245,4.5,52.9,Fail,0
Amit Verma 246,6.3,98.3,Pass,1
Tushar Joshi 247,8.8,37.1,Fail,0
Vivek Chauhan 248,1.3,38.3,Fail,0
Sumit Malik 249,4.2,93.5,Fail,0
Palav Kapoor 250,8.8,49.0,Fail,0
Ansh Agarwal 251,4.2,47.1,Fail,0
Arjun Desai 252,0.2,78.3,Fail,0
Rahul Yadav 253,0.9,69.1,Fail,0
Om Verma 254,1.6,89.8,Fail,0
Rohan Rana 255,8.9,54.4,Fail,0
Arjun Joshi 256,6.1,89.1,Pass,1
Harsh Kapoor 257,5.4,73.9,Pass,1
Rahul Desai 258,3.5,71.8,Fail,0
Jay Singh 259,8.5,80.4,Pass,1
Neel Yadav 260,2.6,34.0,Fail,0
Rahul Malik 261,7.2,66.6,Fail,0
Raj Mehta 262,2.3,79.5,Fail,0
Hash Joshi 263,1.7,62.6,Fail,0
Nakul Desai 264,3.1,63.9,Fail,0
Dev Patel 265,4.8,91.7,Fail,0
Varun Malik 266,6.0,56.3,Fail,0
Rahul Joshi 267,2.4,35.2,Fail,0
Yash Chauhan 268,2.9,98.5,Fail,0
Tushar Malik 269,5.3,63.6,Fail,0
Chirag Mehta 270,1.2,44.3,Fail,0
Bhavesh Verma 271,7.6,98.9,Pass,1
Vivek Kapoor 272,1.4,65.3,Fail,0
Parth Desai 273,2.7,51.2,Fail,0
Hash Malik 274,7.0,91.8,Pass,1
Palav Kapoor 275,1.4,63.9,Fail,0
Varun Chauhan 276,8.1,96.2,Pass,1
Raj Patel 277,2.4,83.0,Fail,0
Yash Yadav 278,1.8,48.8,Fail,0
Arjun Desai 279,8.5,98.2,Pass,1
Arjun Agarwal 280,0.2,48.1,Fail,0
Sumit Singh 281,2.5,36.0,Fail,0
Ravi Joshi 282,1.0,96.3,Fail,0
Amit Desai 283,3.8,94.3,Fail,0
Om Sharma 284,5.2,84.0,Pass,1
Dharaj Sharma 285,8.5,91.5,Pass,1
Smit Malik 286,6.1,52.7,Fail,0
Smit Singh 287,9.2,57.6,Fail,0
Ravi Shah 288,3.4,88.8,Fail,0
Vivek Joshi 289,9.9,77.7,Pass,1
Dharaj Gupta 290,1.9,76.6,Fail,0
Utsav Malik 291,0.2,57.4,Fail,0
Chirag Rana 292,2.6,86.8,Fail,0
Smit Sharma 293,7.5,97.8,Pass,1
Jay Yadav 294,0.1,32.7,Fail,0
Miraj Patel 295,3.2,32.6,Fail,0
Miraj Desai 296,8.4,34.6,Fail,0
Dharaj Desai 297,4.3,96.5,Fail,0
Parth Yadav 298,7.6,51.3,Fail,0
Sumit Patel 299,5.4,95.5,Pass,1
Utsav Shah 300,3.7,91.2,Fail,0
Vivek Chauhan 301,3.9,80.3,Fail,0
Rahul Sharma 302,1.5,36.1,Fail,0
Kunal Mehta 303,6.4,83.7,Pass,1
Yash Verma 304,0.1,36.2,Fail,0
Vivek Agarwal 305,2.4,42.7,Fail,0
Rahul Chauhan 306,7.7,53.7,Fail,0
Palav Sharma 307,2.9,55.6,Fail,0
Raj Shah 308,3.1,61.1,Fail,0
Tushar Singh 309,1.0,50.4,Fail,0
Parth Agarwal 310,5.6,91.8,Pass,1
Varun Kapoor 311,3.9,43.6,Fail,0
Miraj Gupta 312,8.0,43.7,Fail,0
Yash Gupta 313,7.1,39.1,Fail,0
Jay Sharma 314,8.6,76.0,Pass,1
Palav Singh 315,1.1,44.7,Fail,0
Amit Kapoor 316,8.7,98.9,Pass,1
Nakul Gupta 317,5.8,50.1,Fail,0
Utsav Rana 318,7.6,69.8,Fail,0
Om Chauhan 319,8.0,87.8,Pass,1
Sumit Agarwal 320,5.8,40.9,Fail,0
Jay Desai 321,3.6,54.8,Fail,0
Yash Shah 322,2.1,75.7,Fail,0
Rahul Malik 323,4.4,48.7,Fail,0
Smit Kapoor 324,3.5,80.2,Fail,0
Rohan Sharma 325,9.0,71.0,Pass,1
Manav Shah 326,7.1,70.6,Pass,1
Hash Singh 327,5.4,66.8,Fail,0
Yash Sharma 328,1.7,37.1,Fail,0
Dev Mehta 329,0.5,69.6,Fail,0
Ansh Verma 330,6.5,52.9,Fail,0
Raj Rana 331,8.9,68.7,Fail,0
Hash Gupta 332,3.6,71.2,Fail,0
Om Patel 333,6.9,33.9,Fail,0
Utsav Mehta 334,0.4,83.7,Fail,0
Raj Desai 335,8.3,59.7,Fail,0
Vivek Joshi 336,1.4,59.1,Fail,0
Rahul Malik 337,1.1,84.7,Fail,0
Dev Shah 338,6.1,80.0,Pass,1
Amit Verma 339,5.2,52.5,Fail,0
Raj Kapoor 340,8.0,39.9,Fail,0
Yash Verma 341,6.9,65.5,Fail,0
Palav Rana 342,1.4,41.6,Fail,0
Nakul Kapoor 343,3.7,86.6,Fail,0
Dev Malik 344,5.0,41.0,Fail,0
Bhavesh Kapoor 345,6.8,31.8,Fail,0
Rohan Singh 346,4.9,39.0,Fail,0
Neel Desai 347,8.5,48.8,Fail,0
Ravi Kapoor 348,5.5,57.6,Fail,0
Tushar Patel 349,6.2,87.6,Pass,1
Manav Sharma 350,3.1,38.8,Fail,0
Varun Shah 351,0.2,80.6,Fail,0
Bhavesh Joshi 352,1.6,38.3,Fail,0
Jay Patel 353,6.2,73.8,Pass,1
Vivek Malik 354,6.0,91.9,Pass,1
Yash Rana 355,6.8,37.3,Fail,0
Amit Gupta 356,5.7,74.6,Pass,1
Utsav Kapoor 357,6.3,57.5,Fail,0
Chirag Gupta 358,0.2,89.0,Fail,0
Nakul Joshi 359,5.0,42.2,Fail,0
Neel Rana 360,9.5,62.7,Fail,0
Tushar Mehta 361,3.6,81.8,Fail,0
Ravi Chauhan 362,9.1,54.8,Fail,0
Yash Agarwal 363,3.2,75.9,Fail,0
Chirag Rana 364,5.9,99.7,Pass,1
Yash Desai 365,4.0,41.3,Fail,0
Dharaj Malik 366,2.8,85.3,Fail,0
Dev Singh 367,1.0,51.2,Fail,0
Nakul Chauhan 368,2.8,58.1,Fail,0
Amit Chauhan 369,6.2,68.3,Fail,0
Miraj Kapoor 370,2.0,55.8,Fail,0
Parth Verma 371,2.6,89.3,Fail,0
Parth Agarwal 372,7.0,69.1,Fail,0
Ravi Mehta 373,6.5,85.4,Pass,1
Amit Malik 374,4.0,44.9,Fail,0
Jay Sharma 375,8.6,48.3,Fail,0
Yash Malik 376,9.3,61.5,Fail,0
Tushar Rana 377,0.1,39.2,Fail,0
Ravi Verma 378,0.6,98.2,Fail,0
Raj Gupta 379,4.7,53.5,Fail,0
Om Chauhan 380,2.7,90.4,Fail,0
Hash Desai 381,6.3,51.0,Fail,0
Yash Patel 382,0.8,82.6,Fail,0
Dharaj Kapoor 383,4.1,65.2,Fail,0
Miraj Rana 384,4.7,77.0,Fail,0
Sahil Agarwal 385,2.0,92.7,Fail,0
Harsh Mehta 386,2.9,63.9,Fail,0
Sumit Mehta 387,5.2,97.7,Pass,1
Yash Desai 388,5.6,30.8,Fail,0
Varun Mehta 389,1.1,65.3,Fail,0
Ravi Joshi 390,1.1,76.3,Fail,0
Rohan Patel 391,0.8,34.1,Fail,0
Miraj Singh 392,6.0,81.3,Pass,1
Miraj Agarwal 393,1.1,54.4,Fail,0
Arjun Joshi 394,6.0,79.6,Pass,1
Neel Malik 395,5.6,63.8,Fail,0
Rohan Joshi 396,6.5,48.2,Fail,0
Varun Patel 397,10.0,52.8,Fail,0
Varun Patel 398,4.0,71.7,Fail,0
Vivek Joshi 399,5.3,82.4,Pass,1
Dharaj Yadav 400,8.9,44.1,Fail,0
Tushar Patel 401,7.6,40.5,Fail,0
Chirag Shah 402,8.0,33.5,Fail,0
Parth Yadav 403,6.5,37.5,Fail,0
Sahil Shah 404,1.6,46.2,Fail,0
Dev Desai 405,6.1,36.2,Fail,0
Parth Joshi 406,8.2,52.8,Fail,0
Tushar Shah 407,7.7,75.4,Pass,1
Hash Rana 408,9.8,98.8,Pass,1
Miraj Shah 409,9.8,68.7,Fail,0
Chirag Verma 410,1.8,39.7,Fail,0
Parth Sharma 411,1.7,77.4,Fail,0
Sumit Yadav 412,4.4,84.7,Fail,0
Chirag Singh 413,5.1,73.2,Pass,1
Neel Shah 414,3.4,38.2,Fail,0
Sahil Patel 415,4.7,51.2,Fail,0
Hash Kapoor 416,10.0,63.9,Fail,0
Miraj Patel 417,1.6,41.6,Fail,0
Varun Mehta 418,3.2,31.3,Fail,0
Hash Kapoor 419,3.4,39.0,Fail,0
Ansh Rana 420,5.8,48.2,Fail,0
Om Sharma 421,2.9,39.8,Fail,0
Vivek Shah 422,6.0,38.3,Fail,0
Dharaj Rana 423,2.1,42.6,Fail,0
Rahul Yadav 424,4.2,73.4,Fail,0
Neel Desai 425,10.0,89.2,Pass,1
Varun Chauhan 426,6.2,53.1,Fail,0
Dharaj Mehta 427,0.7,34.1,Fail,0
Dev Verma 428,0.4,49.1,Fail,0
Ansh Malik 429,5.5,78.2,Pass,1
Miraj Patel 430,0.0,66.5,Fail,0
Jay Rana 431,2.6,97.3,Fail,0
Utsav Patel 432,2.7,76.9,Fail,0
Om Rana 433,5.4,38.7,Fail,0
Dharaj Rana 434,8.5,32.9,Fail,0
Om Joshi 435,3.3,99.0,Fail,0
Nakul Kapoor 436,0.0,33.9,Fail,0
Parth Shah 437,4.1,47.4,Fail,0
Utsav Desai 438,6.2,48.3,Fail,0
Manav Yadav 439,6.1,50.4,Fail,0
Ansh Patel 440,1.6,76.6,Fail,0
Dev Agarwal 441,4.2,32.8,Fail,0
Dharaj Mehta 442,2.4,46.9,Fail,0
Dharaj Sharma 443,6.0,91.5,Pass,1
Vivek Mehta 444,4.9,42.1,Fail,0
Kunal Joshi 445,5.6,90.0,Pass,1
Rahul Rana 446,6.2,39.6,Fail,0
Utsav Rana 447,8.7,94.3,Pass,1
Utsav Mehta 448,8.7,98.9,Pass,1
Nakul Agarwal 449,2.9,35.8,Fail,0
Varun Rana 450,3.7,79.1,Fail,0
Om Sharma 451,9.4,69.4,Fail,0
Sahil Joshi 452,6.8,44.8,Fail,0
Arjun Gupta 453,1.3,91.9,Fail,0
Ansh Gupta 454,3.0,92.5,Fail,0
Sahil Gupta 455,8.2,45.1,Fail,0
Harsh Sharma 456,4.9,50.1,Fail,0
Arjun Malik 457,4.8,34.9,Fail,0
Vivek Rana 458,1.3,73.9,Fail,0
Manav Kapoor 459,5.0,74.5,Pass,1
Dharaj Singh 460,8.2,96.7,Pass,1
Kunal Patel 461,9.5,72.9,Pass,1
Nakul Gupta 462,6.0,87.0,Pass,1
Chirag Singh 463,4.5,39.1,Fail,0
Tushar Kapoor 464,5.9,56.3,Fail,0
Parth Yadav 465,3.8,87.1,Fail,0
Hash Chauhan 466,9.9,52.5,Fail,0
Arjun Rana 467,7.7,30.6,Fail,0
Om Sharma 468,7.3,70.1,Pass,1
Tushar Chauhan 469,8.0,90.7,Pass,1
Dev Gupta 470,5.5,80.2,Pass,1
Ansh Kapoor 471,9.4,58.5,Fail,0
Harsh Mehta 472,5.9,72.8,Pass,1
Neel Verma 473,2.9,89.3,Fail,0
Jay Patel 474,1.7,75.2,Fail,0
Harsh Gupta 475,7.4,51.2,Fail,0
Miraj Sharma 476,5.8,48.5,Fail,0
Om Kapoor 477,4.4,76.9,Fail,0
Vivek Kapoor 478,2.7,82.5,Fail,0
Dev Patel 479,1.6,95.3,Fail,0
Om Gupta 480,2.3,66.7,Fail,0
Yash Kapoor 481,2.7,94.6,Fail,0
Ansh Mehta 482,8.6,55.2,Fail,0
Jay Singh 483,2.9,44.2,Fail,0
Tushar Rana 484,0.9,55.6,Fail,0
Jay Desai 485,6.0,57.5,Fail,0
Smit Shah 486,5.5,68.9,Fail,0
Neel Gupta 487,8.0,52.7,Fail,0
Miraj Shah 488,6.4,99.7,Pass,1
Rahul Desai 489,2.4,77.0,Fail,0
Harsh Gupta 490,0.6,55.5,Fail,0
Neel Patel 491,8.6,66.2,Fail,0
Hash Singh 492,0.1,63.0,Fail,0
Bhavesh Rana 493,4.8,60.9,Fail,0
Harsh Shah 494,9.5,31.5,Fail,0
Ravi Gupta 495,5.5,71.6,Pass,1
Varun Shah 496,6.1,73.1,Pass,1
Nakul Kapoor 497,9.5,82.7,Pass,1
Kunal Rana 498,8.3,89.2,Pass,1
Bhavesh Verma 499,8.7,63.6,Fail,0
Vivek Verma 500,4.0,79.9,Fail,0
Harsh Malik 501,0.1,86.2,Fail,0
Jay Sharma 502,9.9,48.1,Fail,0
Tushar Chauhan 503,7.4,51.9,Fail,0
Ansh Kapoor 504,2.3,71.1,Fail,0
Smit Malik 505,4.1,70.3,Fail,0
Kunal Gupta 506,1.6,66.6,Fail,0
Tushar Sharma 507,10.0,51.0,Fail,0
Hash Mehta 508,0.7,36.8,Fail,0
Hash Patel 509,0.2,36.2,Fail,0
Varun Rana 510,6.0,74.4,Pass,1
Amit Rana 511,7.5,44.5,Fail,0
Amit Singh 512,4.2,44.7,Fail,0
Ravi Patel 513,9.9,88.2,Pass,1
Kunal Verma 514,6.5,32.6,Fail,0
Dharaj Malik 515,9.6,55.1,Fail,0
Dharaj Rana 516,6.1,97.0,Pass,1
Hash Singh 517,6.8,87.5,Pass,1
Chirag Malik 518,3.1,94.7,Fail,0
Om Shah 519,7.8,89.7,Pass,1
Smit Sharma 520,6.6,82.5,Pass,1
Ansh Chauhan 521,3.5,77.1,Fail,0
Arjun Chauhan 522,1.9,80.6,Fail,0
Manav Chauhan 523,1.0,59.7,Fail,0
Miraj Verma 524,5.2,43.5,Fail,0
Hash Rana 525,7.1,60.3,Fail,0
Arjun Sharma 526,6.4,73.8,Pass,1
Jay Mehta 527,4.4,93.7,Fail,0
Sahil Sharma 528,8.2,75.2,Pass,1
Miraj Verma 529,9.0,34.6,Fail,0
Palav Shah 530,7.7,85.1,Pass,1
Varun Sharma 531,4.6,33.9,Fail,0
Harsh Rana 532,9.1,49.5,Fail,0
Hash Mehta 533,0.5,74.3,Fail,0
Ravi Chauhan 534,9.0,41.5,Fail,0
Smit Singh 535,5.4,71.5,Pass,1
Dharaj Patel 536,0.5,60.5,Fail,0
Dev Yadav 537,7.8,77.0,Pass,1
Rahul Patel 538,1.6,38.1,Fail,0
Rahul Desai 539,0.9,74.1,Fail,0
Miraj Gupta 540,8.3,92.1,Pass,1
Jay Shah 541,5.3,42.5,Fail,0
Tushar Yadav 542,1.9,80.9,Fail,0
Sumit Shah 543,6.4,35.6,Fail,0
Dev Kapoor 544,6.4,71.0,Pass,1
Ravi Verma 545,2.7,91.1,Fail,0
Yash Rana 546,5.6,86.5,Pass,1
Om Desai 547,4.0,42.0,Fail,0
Rohan Joshi 548,6.3,55.1,Fail,0
Harsh Sharma 549,5.4,47.0,Fail,0
Rahul Singh 550,5.6,72.2,Pass,1
Amit Mehta 551,1.7,94.9,Fail,0
Hash Agarwal 552,5.7,81.8,Pass,1
Vivek Joshi 553,6.2,98.9,Pass,1
Sahil Mehta 554,8.9,75.7,Pass,1
Miraj Joshi 555,6.5,71.3,Pass,1
Manav Kapoor 556,9.8,53.8,Fail,0
Vivek Gupta 557,7.6,64.9,Fail,0
Varun Patel 558,6.8,71.7,Pass,1
Ansh Mehta 559,1.4,67.4,Fail,0
Palav Chauhan 560,10.0,97.1,Pass,1
Smit Mehta 561,7.4,85.0,Pass,1
Ravi Agarwal 562,8.3,59.3,Fail,0
Om Joshi 563,3.2,54.0,Fail,0
Vivek Gupta 564,9.7,77.7,Pass,1
Utsav Desai 565,6.0,40.2,Fail,0
Vivek Desai 566,7.5,77.7,Pass,1
Bhavesh Desai 567,9.7,72.9,Pass,1
Nakul Shah 568,8.5,40.6,Fail,0
Smit Joshi 569,5.2,61.3,Fail,0
Dev Malik 570,0.0,98.7,Fail,0
Vivek Verma 571,4.0,54.9,Fail,0
Parth Chauhan 572,0.7,49.2,Fail,0
Jay Kapoor 573,9.1,78.0,Pass,1
